Contact Id,Tag Added,Should have Added,Status
LeWCTaoDfO9Hx8goPgOf,yes,question not found - skip add tag,effected
Z0VaWRaIGWTtnYhE1X2Z,no,no,not-effected
1Ay6ahbMKxSpDkJ00e9h,no,no,not-effected
S7DjQpcaIKu1UqWeCLv2,no,no,not-effected
2xQtYgzsbTypewmsOKp6,yes,question not found - skip add tag,effected
tuORMWui2nSGDhYOUmRb,yes,question not found - skip add tag,effected
MOv14tYwDhjezHfUeddF,yes,question not found - skip add tag,effected
nESqALZhrtO70emQxp32,no,no,not-effected
JbtC2K3HWQ0dQkGXbCWu,no,no,not-effected
4IwUYFLlvdGwpuUjFi0T,no,no,not-effected
GCluwe6jIPGSEvziAjF6,yes,question not found - skip add tag,effected
HOFDyr8EglnUSTQr9WTv,yes,question not found - skip add tag,effected
qJ5WsUrcxyfQA8ALMqdi,yes,question not found - skip add tag,effected
Jcv8w3eYavEeIKVzEZvW,yes,question found but answer not found - add tag,not-effected
0khFSMIvZ7GIcjsbZ2ax,yes,question not found - skip add tag,effected
k49aDPYejvPQlL4kgvo1,yes,question not found - skip add tag,effected
6H2sMOynX94htciFiz2F,yes,question not found - skip add tag,effected
hb2Gu0e7pzQwL2oXJ2sY,yes,question found but answer not found - add tag,not-effected
q3TLODWf5kxCnzeXYsZh,yes,question found but answer not found - add tag,not-effected
5EDJN2f4B2nXdHPzNL2g,no,no,not-effected
ZyTNdJiKc3tmnCFE1UTY,yes,question found but answer not found - add tag,not-effected
8e7QrzV02kJP5mL7lDdB,yes,question found but answer not found - add tag,not-effected
pg2cWsPNPMzS5VlmTYsp,yes,question not found - skip add tag,effected
T6H9OImIvFLWxbsEak2C,no,no,not-effected
WMoTGCQmceVwP9CUjz67,yes,question not found - skip add tag,effected
nPU0o8797em6Ix1uaUK7,yes,question not found - skip add tag,effected
wWr9KLF9rA4IDfMdIBYm,yes,question found but answer not found - add tag,not-effected
Eyitd6Mwq5lKa75abl7C,yes,question not found - skip add tag,effected
9ivaBMMmzE7b8Uc2dvTp,yes,question not found - skip add tag,effected
ReztwnmQao01uUQrLuUW,no,no,not-effected
qUJT5L6eMYo3ZHqAbIUD,no,no,not-effected
yHl0OMZzARp5x17Io9P7,yes,question found but answer not found - add tag,not-effected
A2xFQaHLaOMrORU1otBx,yes,question found but answer not found - add tag,not-effected
TdzmiUCFigHXNtTIqT06,yes,question not found - skip add tag,effected
N0jqe0dx7HqIXCqtlC3z,no,no,not-effected
vRCKzuSuld6hAlKRsD1q,yes,question not found - skip add tag,effected
nxPqjjejTrzVyythLKBD,yes,question not found - skip add tag,effected
